"1","JARDIN NELSON MANDELA","Promenades ouvertes","Jardin","75001","Oui","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=41598","48.86258056047831, 2.3444846148682603","32.0 RUE BERGER 75001","Park","Pa-75001","kfpk3075","kfpk3075_2"
"10","SQUARE LEOPOLD ACHILLE","Promenades ouvertes","Square","75003","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=42661","48.858369953469, 2.363198090635697","5.0 RUE DU PARC ROYAL 75003","Park","Pa-75003","kfpk3075","kfpk3075_138"
"10022","SQUARE MARC SEGUIN","Promenades ouvertes","Square","75018","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=62517","48.89197347928882, 2.361195054268057","27.0 RUE MARC SEGUIN 75018","Park","Pa-75018","kfpk3075","kfpk3075_2216"
"10023","SQUARE DU DOCTEUR J. J. GRANCHER","Promenades ouvertes","Square","75020","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=68421","48.86543086001217, 2.394182461701178","23.0 RUE SORBIER 75020","Park","Pa-75020","kfpk3075","kfpk3075_178"
"10031","JARDIN DU CLOS DES BLANCS MANTEAUX-FRANCESCA DANDOLO","Promenades ouvertes","Jardin","75004","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=42822","48.858614978289566, 2.356505654906898","21.0 RUE DES BLANCS MANTEAUX 75004","Park","Pa-75004","kfpk3075","kfpk3075_1230"
"10033","SQUARES DES ARENES DE LUTECE ET CAPITAN","Promenades ouvertes","Square","75005","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=44517","48.84510679091288, 2.353232576400123","2.0 PLACE EMILE MALE 75005","Park","Pa-75005","kfpk3075","kfpk3075_1642"
"10043","JARDIN DU PRE CATELAN","Promenades ouvertes","Jardin","75016","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=106634","48.86480010813261, 2.252974874935431","11.0 CHEMIN DE LA CROIX CATELAN 75016","Park","Pa-75016","kfpk3075","kfpk3075_477"
"10046","SQUARE JACQUES GRYNBERG","Promenades ouvertes","Square","75020","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=70173","48.86364551991712, 2.389154799534925","2.0 RUE FERNAND LEGER 75020","Park","Pa-75020","kfpk3075","kfpk3075_958"
"10050","ECOLE D'HORTICULTURE DU BREUIL","Promenades ouvertes","Jardin","75012","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=51752","48.8234119724693, 2.4605153500957364","21.0 ROUTE DE LA FERME 75012","Park","Pa-75012","kfpk3075","kfpk3075_72"
"10074","SQUARE OLGA BANCIC","Promenades ouvertes","Square","75011","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=48605","48.85619897583923, 2.380886390196503","34.0 RUE GODEFROY CAVAIGNAC 75011","Park","Pa-75011","kfpk3075","kfpk3075_1669"
"10077","JARDIN FRANCOISE HERITIER","Promenades ouvertes","Square","75014","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=55453","48.8339668443576, 2.3196848326086164","7.0 RUE SAINTE LEONIE 75014","Park","Pa-75014","kfpk3075","kfpk3075_735"
"10081","JARDIN D'AGRONOMIE TROPICALE","Promenades ouvertes","Jardin","75012","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=51686","48.83385501335207, 2.4665290084233646","45.0 AVENUE DE LA BELLE GABRIELLE * NOGENT FONTENAY 75012","Park","Pa-75012","kfpk3075","kfpk3075_1456"
"101","JARDINS DES CHAMPS ELYSEES","Promenades ouvertes","Jardin","75008","Oui","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=46225","48.86715046973645, 2.3149723817247714","5.0 AVENUE DES CHAMPS ELYSEES 75008","Park","Pa-75008","kfpk3075","kfpk3075_195"
"10131","JARDIN DE L'HOTEL DE SENS","Promenades ouvertes","Jardin","75004","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=43322","48.853627577180006, 2.358477947636266","8.0 RUE DES NONNAINS D'HYERES 75004","Park","Pa-75004","kfpk3075","kfpk3075_1866"
"10133","JARDIN CYPRIAN KAMIL NORWID","Promenades ouvertes","Jardin","75013","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=54182","48.82826098030777, 2.3772006105953976","46.0 RUE DES GRANDS MOULINS 75013","Park","Pa-75013","kfpk3075","kfpk3075_983"
"10134","JARDIN DES GRANDS MOULINS  - JARDIN CENTRAL","Promenades ouvertes","Jardin","75013","Non","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=53656","48.82928326203656, 2.3801715592683195","25.0 RUE THOMAS MANN 75013","Park","Pa-75013","kfpk3075","kfpk3075_728"
"10135","JARDIN DES GRANDS MOULINS  - JARDIN DE L'AVENUE DE FRANCE","Promenades ouvertes","Jardin","75013","Oui","https://b22-pr-v1-iis01.ressources.paris.mdp/MAAP.asp?object=53658","48.82895921264189, 2.3792509480757764","25.0 RUE MARIE-ANDREE LAGROUA WEILL-HALLE 75013","Park","Pa-75013","kfpk3075","kfpk3075_999"
